 중구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Daytime ,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631,7631
 강서구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,1164,1165,1167,1173,1202,1252,1287,1296,1318,1330,1331,1327,1313,1310,1300,1281,1258,1238,1237,1221,1205,1182,1178
, Sat ,1172,1173,1166,1174,1216,1309,1422,1472,1491,1495,1487,1472,1457,1436,1411,1373,1310,1240,1211,1190,1174,1155,1153
, Weekdays ,1224,1224,1219,1226,1279,1447,1682,1806,1829,1838,1838,1841,1842,1833,1822,1790,1674,1528,1422,1326,1275,1245,1237
, Resident ,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208
, Daytime ,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323
 수영구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,22673,22618,22617,22624,22624,22513,22390,22329,22063,21808,21504,21404,21282,21288,21290,21445,21589,21921,22200,22330,22379,22370,22315
, Sat ,22227,22206,22216,22236,22236,22086,21880,21734,21491,21203,21018,20919,20983,21000,21173,21505,22073,22616,22997,23248,23289,23155,22954
, Weekdays ,21998,21982,21985,21973,21929,21665,21191,20275,19682,19337,19093,18934,18871,18877,19090,19363,19838,20713,21399,21888,22148,22212,22134
, Resident ,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410,21410
, Daytime ,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785,17785
 기장군 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,751,754,755,756,757,762,771,776,798,839,905,968,1020,1034,1019,962,901,837,794,764,745,743,743
, Sat ,742,744,745,746,748,757,775,780,797,819,855,892,921,933,938,916,882,842,805,774,749,749,750
, Weekdays ,764,765,766,766,767,775,804,800,805,814,834,853,855,848,839,822,800,781,769,754,749,753,758
, Resident ,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768
, Daytime ,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759
