측정소코드,측정일시,PM10,PM25
221211,2016040101,119,92
221211,2016040102,108,99
221211,2016040103,114,88
221211,2016040104,123,107
221211,2016040105,112,91
221211,2016040106,113,88
221211,2016040107,110,79
221211,2016040108,117,86
221211,2016040109,124,87
221211,2016040110,126,77
221211,2016040111,161,75
221211,2016040112,123,57
221211,2016040113,98,29
221211,2016040114,88,31
221211,2016040115,110,46
221211,2016040116,88,49
221211,2016040117,67,38
221211,2016040118,56,43
221211,2016040119,72,45
221211,2016040120,76,53
221211,2016040121,74,55
221211,2016040122,84,58
221211,2016040123,72,57
221211,2016040124,85,55
221211,2016040201,83,58
221211,2016040202,88,63
221211,2016040203,89,70
221211,2016040204,76,63
221211,2016040205,96,76
221211,2016040206,96,70
221211,2016040207,96,74
221211,2016040208,100,75
221211,2016040209,106,83
221211,2016040210,136,76
221211,2016040211,122,72
221211,2016040212,96,55
221211,2016040213,64,37
221211,2016040214,64,33
221211,2016040215,49,36
221211,2016040216,54,34
221211,2016040217,47,32
221211,2016040218,55,33
221211,2016040219,26,25
221211,2016040220,24,27
221211,2016040221,45,38
221211,2016040222,37,28
221211,2016040223,45,40
221211,2016040224,34,26
221211,2016040301,36,26
221211,2016040302,27,26
221211,2016040303,34,27
221211,2016040304,33,26
221211,2016040305,33,26
221211,2016040306,48,35
221211,2016040307,52,43
221211,2016040308,65,51
221211,2016040309,65,41
221211,2016040310,81,47
221211,2016040311,68,37
221211,2016040312,77,52
221211,2016040313,73,48
221211,2016040314,55,35
221211,2016040315,59,39
221211,2016040316,52,40
221211,2016040317,46,35
221211,2016040318,28,31
221211,2016040319,22,23
221211,2016040320,17,20
221211,2016040321,10,13
221211,2016040322,18,13
221211,2016040323,14,9
221211,2016040324,12,7
221211,2016040401,11,7
221211,2016040402,10,7
221211,2016040403,8,5
221211,2016040404,8,3
221211,2016040405,7,4
221211,2016040406,5,3
221211,2016040407,4,3
221211,2016040408,6,3
221211,2016040409,23,5
221211,2016040410,8,4
221211,2016040411,11,4
221211,2016040412,26,11
221211,2016040413,19,8
221211,2016040414,16,5
221211,2016040415,33,8
221211,2016040416,22,6
221211,2016040417,24,8
221211,2016040418,21,8
221211,2016040419,21,8
221211,2016040420,31,9
221211,2016040421,31,13
221211,2016040422,24,13
221211,2016040423,10,14
221211,2016040424,25,15
221211,2016040501,28,18
221211,2016040502,23,12
221211,2016040503,32,15
221211,2016040504,37,19
221211,2016040505,44,22
221211,2016040506,37,24
221211,2016040507,48,30
