측정소코드,측정일시,PM10,PM25
221211,2016070101,20,16
221211,2016070102,19,10
221211,2016070103,19,13
221211,2016070104,26,21
221211,2016070105,21,17
221211,2016070106,24,17
221211,2016070107,24,21
221211,2016070108,27,21
221211,2016070109,29,23
221211,2016070110,25,19
221211,2016070111,21,14
221211,2016070112,26,13
221211,2016070113,25,17
221211,2016070114,27,15
221211,2016070115,29,15
221211,2016070116,19,11
221211,2016070117,12,12
221211,2016070118,13,12
221211,2016070119,12,11
221211,2016070120,29,11
221211,2016070121,20,7
221211,2016070122,28,8
221211,2016070123,19,11
221211,2016070124,20,9
221211,2016070201,20,9
221211,2016070202,20,10
221211,2016070203,22,11
221211,2016070204,21,11
221211,2016070205,20,14
221211,2016070206,13,14
221211,2016070207,20,13
221211,2016070208,11,13
221211,2016070209,12,9
221211,2016070210,15,10
221211,2016070211,15,9
221211,2016070212,25,17
221211,2016070213,19,17
221211,2016070214,19,17
221211,2016070215,23,11
221211,2016070216,25,16
221211,2016070217,29,18
221211,2016070218,22,15
221211,2016070219,12,12
221211,2016070220,17,12
221211,2016070221,16,11
221211,2016070222,20,14
221211,2016070223,18,14
221211,2016070224,26,15
221211,2016070301,31,19
221211,2016070302,27,14
221211,2016070303,27,24
221211,2016070304,31,18
221211,2016070305,35,22
221211,2016070306,38,21
221211,2016070307,36,23
221211,2016070308,32,27
221211,2016070309,30,26
221211,2016070310,25,23
221211,2016070311,29,22
221211,2016070312,29,29
221211,2016070313,30,24
221211,2016070314,23,19
221211,2016070315,21,20
221211,2016070316,22,14
221211,2016070317,20,19
221211,2016070318,25,23
221211,2016070319,19,16
221211,2016070320,17,19
221211,2016070321,22,18
221211,2016070322,33,30
221211,2016070323,38,31
221211,2016070324,30,27
221211,2016070401,26,28
221211,2016070402,28,27
221211,2016070403,31,34
221211,2016070404,25,28
221211,2016070405,17,24
221211,2016070406,12,16
221211,2016070407,16,20
221211,2016070408,27,22
221211,2016070409,24,23
221211,2016070410,27,22
221211,2016070411,22,15
221211,2016070412,22,15
221211,2016070413,11,10
221211,2016070414,23,19
221211,2016070415,30,20
221211,2016070416,35,33
221211,2016070417,28,26
221211,2016070418,34,24
221211,2016070419,22,23
221211,2016070420,26,24
221211,2016070421,42,35
221211,2016070422,41,32
221211,2016070423,45,30
221211,2016070424,44,33
221211,2016070501,40,34
221211,2016070502,37,28
221211,2016070503,36,35
221211,2016070504,37,33
221211,2016070505,37,25
221211,2016070506,30,28
221211,2016070507,29,24
221211,2016070508,16,15
221211,2016070509,12,15
221211,2016070510,10,13
221211,2016070511,10,15
221211,2016070512,21,14
221211,2016070513,25,14
221211,2016070514,19,13
221211,2016070515,24,15
221211,2016070516,18,14
221211,2016070517,23,16
221211,2016070518,17,15
221211,2016070519,23,15
221211,2016070520,26,19
221211,2016070521,24,17
221211,2016070522,17,13
221211,2016070523,15,12
221211,2016070524,15,15
221211,2016070601,15,15
221211,2016070602,10,13
221211,2016070603,12,10
221211,2016070604,15,10
221211,2016070605,20,18
221211,2016070606,21,12
221211,2016070607,16,14
221211,2016070608,24,13
221211,2016070609,24,15
221211,2016070610,18,16
221211,2016070611,22,15
221211,2016070612,24,17
221211,2016070613,24,8
221211,2016070614,29,10
221211,2016070615,21,12
221211,2016070616,22,10
221211,2016070617,19,14
221211,2016070618,19,13
221211,2016070619,11,17
221211,2016070620,18,15
221211,2016070621,26,13
221211,2016070622,23,17
221211,2016070623,31,18
221211,2016070624,34,21
221211,2016070701,29,26
221211,2016070702,31,22
221211,2016070703,33,21
221211,2016070704,29,20
221211,2016070705,43,28
221211,2016070706,29,15
221211,2016070707,27,16
221211,2016070708,28,18
221211,2016070709,32,20
221211,2016070710,29,24
221211,2016070711,33,20
221211,2016070712,29,22
221211,2016070713,29,14
221211,2016070714,24,21
221211,2016070715,29,19
221211,2016070716,30,21
221211,2016070717,28,18
221211,2016070718,22,10
221211,2016070719,16,15
221211,2016070720,19,22
221211,2016070721,19,11
221211,2016070722,26,17
221211,2016070723,19,20
221211,2016070724,33,19
221211,2016070801,28,21
221211,2016070802,27,20
221211,2016070803,33,12
221211,2016070804,31,13
221211,2016070805,30,20
221211,2016070806,28,17
221211,2016070807,35,18
221211,2016070808,40,25
