측정소코드,측정일시,PM10,PM25
221211,2016100101,29,14
221211,2016100102,32,17
221211,2016100103,27,20
221211,2016100104,26,21
221211,2016100105,30,18
221211,2016100106,29,18
221211,2016100107,36,18
221211,2016100108,37,17
221211,2016100109,39,23
221211,2016100110,27,21
221211,2016100111,38,23
221211,2016100112,33,24
221211,2016100113,37,16
221211,2016100114,32,16
221211,2016100115,35,11
221211,2016100116,40,16
221211,2016100117,36,29
221211,2016100118,51,28
221211,2016100119,42,20
221211,2016100120,46,23
221211,2016100121,34,20
221211,2016100122,38,10
221211,2016100123,38,22
221211,2016100124,50,27
221211,2016100201,40,29
221211,2016100202,47,
221211,2016100203,41,28
221211,2016100204,50,25
221211,2016100205,48,26
221211,2016100206,44,27
221211,2016100207,46,25
221211,2016100208,35,22
221211,2016100209,52,28
221211,2016100210,40,29
221211,2016100211,39,31
221211,2016100212,28,20
221211,2016100213,19,18
221211,2016100214,23,10
221211,2016100215,19,13
221211,2016100216,22,11
221211,2016100217,17,8
221211,2016100218,19,10
221211,2016100219,24,12
221211,2016100220,30,11
221211,2016100221,32,21
221211,2016100222,32,17
221211,2016100223,30,13
221211,2016100224,31,14
221211,2016100301,48,24
221211,2016100302,72,25
221211,2016100303,63,33
221211,2016100304,65,29
221211,2016100305,73,38
221211,2016100306,82,39
221211,2016100307,83,35
221211,2016100308,77,37
221211,2016100309,83,40
221211,2016100310,49,27
221211,2016100311,34,10
221211,2016100312,19,11
221211,2016100313,28,12
221211,2016100314,31,10
221211,2016100315,17,7
221211,2016100316,23,5
221211,2016100317,23,9
221211,2016100318,20,7
221211,2016100319,28,13
221211,2016100320,35,16
221211,2016100321,43,13
221211,2016100322,36,14
221211,2016100323,47,19
221211,2016100324,42,16
221211,2016100401,37,14
221211,2016100402,42,15
221211,2016100403,41,21
221211,2016100404,31,16
221211,2016100405,35,15
221211,2016100406,33,16
221211,2016100407,30,16
221211,2016100408,34,17
221211,2016100409,37,16
221211,2016100410,24,15
221211,2016100411,23,16
221211,2016100412,34,17
221211,2016100413,34,15
221211,2016100414,30,17
221211,2016100415,30,18
221211,2016100416,40,22
221211,2016100417,,
221211,2016100418,,
221211,2016100419,,
221211,2016100420,45,16
221211,2016100421,44,21
221211,2016100422,48,18
221211,2016100423,48,23
221211,2016100424,47,17
221211,2016100501,45,17
221211,2016100502,48,14
221211,2016100503,30,12
221211,2016100504,27,12
221211,2016100505,26,8
221211,2016100506,24,10
221211,2016100507,12,7
221211,2016100508,18,5
221211,2016100509,8,7
221211,2016100510,18,8
221211,2016100511,21,5
221211,2016100512,,6
221211,2016100513,,6
221211,2016100514,10,10
221211,2016100515,11,6
221211,2016100516,11,9
221211,2016100517,18,7
221211,2016100518,19,5
221211,2016100519,22,4
221211,2016100520,35,6
221211,2016100521,30,11
221211,2016100522,20,12
221211,2016100523,20,13
221211,2016100524,33,18
221211,2016100601,34,9
221211,2016100602,25,10
221211,2016100603,24,10
221211,2016100604,24,7
